Callsign,Frequency_MHz,Latitude,Longitude,SiteName,SiteLocation,State,Power_W,WFO,Status
WNG521,162.525,30.88654,-90.04895,Bogalusa,Bogalusa,LA,1000,New Orleans/Baton Rouge|LA,NORMAL
KEC73,162.550,41.707729,-70.564406,Bourne/Hyannis,Camp Edwards,MA,1000,Boston/Norton|MA,NORMAL
WXL34,162.550,42.636944,-74.001667,Albany,New Scotland,NY,1000,Albany|NY,NORMAL
WXM68,162.425,42.6981,-72.605,Leyden,Leyden,MA,300,Albany|NY,NORMAL
WWF48,162.525,42.6367,-73.1667,Mt. Greylock,Bascom Lodge,MA,125,Albany|NY,NORMAL
KHB35,162.475,42.211928,-71.113649,Boston,Great Blue Hill,MA,1000,Boston/Norton|MA,NORMAL
WXJ39,162.400,41.805,-71.4733,Providence,Johnston,RI,500,Boston/Norton|MA,NORMAL
KZZ40,162.450,43.175833,-71.208056,Deerfield,Deerfield,NH,300,Gray/Portland|ME,NORMAL
WNG574,162.425,42.62563,-70.64654,Gloucester Marine,Essex,MA,100,Boston/Norton|MA,NORMAL
WNG575,162.525,42.861111,-71.879167,Pack Monadnock,Peterborough,NH,300,Gray/Portland|ME,NORMAL
WXM43,162.425,39.582167,-78.898667,Frostburg,Midland (Frostburg),MD,300,Baltimore/Washington|VA,NORMAL
WXM42,162.475,39.651111,-77.970833,Hagerstown,Clear Spring,MD,1000,Baltimore/Washington|VA,NORMAL
WXM73,162.400,38.9825,-78.908611,Moorefield,Branch Mtn.,WV,500,Baltimore/Washington|VA,NORMAL
WZ2527,162.425,38.311389,-77.483611,Fredericksburg,Fredericksburg,VA,300,Baltimore/Washington|VA,NORMAL
KXI73,162.450,39.1456,-79.5766,Backbone Mountain,Thomas,WV,145,Pittsburgh|PA,NORMAL
KWN36,162.500,39.510611,-79.533139,Greggs Knob,Terra Alta,WV,329,Pittsburgh|PA,NORMAL
KJY99,162.525,37.8425,-75.571389,Accomack,Onley (AG),VA,1000,Wakefield|VA,NORMAL
WXM57,162.400,37.906083,-76.485528,Heathsville,Heathsville,VA,1000,Wakefield|VA,NORMAL
WSM60,162.475,44.122778,-69.680556,Dresden,Blinn Hill,ME,300,Gray/Portland|ME,NORMAL
KDO95,162.550,43.7625,-70.325,Falmouth,Blackstrap Hill,ME,500,Gray/Portland|ME,NORMAL
WNG547,162.450,45.031722,-70.313139,Sugarloaf Mtn,Sugarloaf Mtn,ME,100,Gray/Portland|ME,OUT OF SERVICE
WXM77,162.525,46.551288,-67.809185,Caribou,Mars Hill,ME,100,Caribou|ME,NORMAL
KHB55,162.475,47.286944,-68.314167,Frenchville,Frenchville,ME,300,Caribou|ME,NORMAL
